year,amount,inflation rate
1860,1,0
1861,1.0602409638554218,0.06024096385542168
1862,1.2168674698795179,0.1477272727272726
1863,1.5180722891566263,0.24752475247524752
1864,1.8915662650602407,0.24603174603174602
1865,1.963855421686747,0.038216560509554236
1866,1.9156626506024095,-0.02453987730061352
1867,1.783132530120482,-0.06918238993710689
1868,1.7108433734939756,-0.04054054054054063
1869,1.6385542168674696,-0.04225352112676054
1870,1.578313253012048,-0.03676470588235294
1871,1.469879518072289,-0.06870229007633591
1872,1.469879518072289,0
1873,1.4457831325301203,-0.01639344262295076
1874,1.3734939759036144,-0.04999999999999997
1875,1.325301204819277,-0.03508771929824565
1876,1.289156626506024,-0.027272727272727337
1877,1.2650602409638554,-0.018691588785046665
1878,1.2048192771084336,-0.047619047619047616
1879,1.2048192771084336,0
1880,1.2289156626506021,0.019999999999999928
1881,1.2289156626506021,0
1882,1.2289156626506021,0
1883,1.2168674698795179,-0.009803921568627416
1884,1.180722891566265,-0.029702970297029598
1885,1.1686746987951806,-0.010204081632653206
1886,1.1325301204819276,-0.030927835051546285
1887,1.1445783132530118,0.010638297872340387
1888,1.1445783132530118,0
1889,1.1084337349397588,-0.03157894736842113
1890,1.0963855421686746,-0.010869565217391266
1891,1.0963855421686746,0
1892,1.0963855421686746,0
1893,1.0843373493975903,-0.01098901098901095
1894,1.0361445783132528,-0.04444444444444448
1895,1.0120481927710843,-0.023255813953488292
1896,1.0120481927710843,0
1897,1,-0.011904761904761862
1898,1,0
1899,1,0
1900,1.0120481927710843,0.012048192771084293
1901,1.0240963855421685,0.011904761904761862
1902,1.0361445783132528,0.0117647058823529
1903,1.0602409638554218,0.023255813953488497
1904,1.072289156626506,0.011363636363636322
1905,1.0602409638554218,-0.011235955056179735
1906,1.0843373493975903,0.022727272727272645
1907,1.1325301204819276,0.04444444444444448
1908,1.1084337349397588,-0.021276595744680965
1909,1.0963855421686746,-0.010869565217391266
1910,1.1445783132530118,0.043956043956043994
1911,1.1445783132530118,0
1912,1.1686746987951806,0.021052631578947295
1913,1.1927710843373494,0.02061855670103104
1914,1.2048192771084336,0.010101010101010065
1915,1.2168674698795179,0.009999999999999964
1916,1.3132530120481927,0.07920792079207928
1917,1.542168674698795,0.17431192660550462
1918,1.8192771084337347,0.17968749999999992
1919,2.08433734939759,0.14569536423841067
1920,2.4096385542168672,0.15606936416184966
1921,2.156626506024096,-0.10500000000000007
1922,2.0240963855421685,-0.061452513966480334
1923,2.0602409638554215,0.017857142857142898
1924,2.0602409638554215,0
1925,2.108433734939759,0.02339181286549699
1926,2.1325301204819276,0.011428571428571389
1927,2.0963855421686746,-0.016949152542372923
1928,2.0602409638554215,-0.017241379310344664
1929,2.0602409638554215,0
1930,2.012048192771084,-0.0233918128654972
1931,1.831325301204819,-0.08982035928143713
1932,1.650602409638554,-0.09868421052631579
1933,1.5662650602409638,-0.05109489051094886
1934,1.614457831325301,0.030769230769230795
1935,1.650602409638554,0.022388059701492456
1936,1.6746987951807228,0.01459854014598548
1937,1.7349397590361444,0.03597122302158273
1938,1.6987951807228914,-0.02083333333333338
1939,1.6746987951807228,-0.014184397163120517
1940,1.686746987951807,0.007194244604316521
1941,1.7710843373493974,0.04999999999999995
1942,1.963855421686747,0.1088435374149661
1943,2.08433734939759,0.06134969325153374
1944,2.1204819277108435,0.017341040462427786
1945,2.1686746987951806,0.022727272727272645
1946,2.3493975903614457,0.08333333333333333
1947,2.686746987951807,0.14358974358974363
1948,2.9036144578313254,0.08071748878923769
1949,2.867469879518072,-0.012448132780083016
1950,2.9036144578313254,0.012605042016806753
1951,3.1325301204819276,0.07883817427385886
1952,3.192771084337349,0.019230769230769232
1953,3.2168674698795177,0.007547169811320728
1954,3.240963855421686,0.007490636704119823
1955,3.228915662650602,-0.0037174721189590287
1956,3.277108433734939,0.014925373134328304
1957,3.3855421686746987,0.033088235294117724
1958,3.481927710843373,0.028469750889679613
1959,3.5060240963855422,0.006920415224913594
1960,3.566265060240964,0.017182130584192438
1961,3.6024096385542164,0.010135135135135039
1962,3.6385542168674694,0.010033444816053536
1963,3.686746987951807,0.013245033112582853
1964,3.7349397590361444,0.013071895424836555
1965,3.795180722891566,0.016129032258064516
1966,3.903614457831325,0.028571428571428525
1967,4.024096385542168,0.0308641975308642
1968,4.192771084337349,0.04191616766467062
1969,4.421686746987952,0.05459770114942546
1970,4.674698795180722,0.057220708446866324
1971,4.879518072289156,0.043814432989690795
1972,5.036144578313253,0.0320987654320987
1973,5.349397590361445,0.06220095693779908
1974,5.939759036144578,0.11036036036036033
1975,6.481927710843372,0.09127789046653144
1976,6.855421686746987,0.057620817843866204
1977,7.301204819277108,0.06502636203866438
1978,7.855421686746988,0.07590759075907592
1979,8.746987951807228,0.11349693251533728
1980,9.927710843373493,0.13498622589531697
1981,10.951807228915662,0.10315533980582524
1982,11.626506024096384,0.06160616061606154
1983,11.999999999999998,0.03212435233160616
1984,12.518072289156626,0.04317269076305232
1985,12.963855421686745,0.03561116458132809
1986,13.204819277108433,0.01858736059479554
1987,13.686746987951805,0.03649635036496351
1988,14.253012048192769,0.041373239436619746
1989,14.939759036144578,0.04818258664412513
1990,15.746987951807226,0.05403225806451604
1991,16.409638554216865,0.04208110175975517
1992,16.903614457831324,0.030102790014684456
1993,17.409638554216865,0.029935851746257933
1994,17.855421686746986,0.02560553633217985
1995,18.361445783132528,0.028340080971660037
1996,18.903614457831324,0.02952755905511811
1997,19.33734939759036,0.022944550669216024
1998,19.63855421686747,0.01557632398753894
1999,20.072289156626503,0.022085889570552113
2000,20.746987951807228,0.033613445378151224
2001,21.33734939759036,0.028455284552845562
2002,21.67469879518072,0.015810276679841962
2003,22.16867469879518,0.022790439132851552
2004,22.75903614457831,0.026630434782608726
2005,23.53012048192771,0.033880359978824805
2006,24.28915662650602,0.03225806451612894
2007,24.980963855421685,0.02848214285714295
2008,25.940120481927707,0.038395501152684856
2009,25.847831325301204,-0.0035577767146764846
2010,26.271807228915662,0.016402765024214963
2011,27.101084337349395,0.031565285981582626
2012,27.661927710843372,0.02069449939761447
2013,28.067108433734937,0.014647595320435202
2014,28.522409638554212,0.016221877857286952
2015,28.55626506024096,0.0011869762097864538
2016,28.916506024096385,0.012615128872612551
2017,29.532530120481926,0.021303545313261694
2018,30.253835341365058,0.024424091601378903
2019,30.91060240963855,0.021708555654612067
